b,kappa,n,n_out,phi,bulk_mad,out_med,out_q90,eps_hat,pos_frac,q95_pos,q99_pos
5,5,490200,10899,0.005,0.001191623279324267,0.0663391500711441,0.3300970733165741,0.022233782129742963,1.0,0.5750084340572358,1.4991769480705261
6,5,490179,19538,0.005,0.0026656508705578744,0.07104458287358284,0.3243526548147201,0.039858908684378566,1.0,0.5338480800390235,1.3085607516765596
7,5,490159,20262,0.00997693386845222,0.005735432237014174,0.1284007951617241,0.488999801874161,0.04133760677657658,1.0,0.7690198838710786,1.691954804658889
8,5,490169,17797,0.020731940822104833,0.011874014616943896,0.24106912314891815,0.7518435716629027,0.03630788564760317,1.0,1.0719779968261733,2.1036875629425054
9,5,490166,14562,0.04073043898629802,0.023629348530247805,0.4358227849006653,1.0893346905708312,0.029708302901466033,1.0,1.4545127332210537,2.5307368206977827
10,5,490164,10844,0.07623697181909694,0.04530052620470523,0.7101500332355499,1.4517641067504883,0.022123207742714684,1.0,1.8523349523544312,2.9039682149887054
11,5,490167,6719,0.13228418287662203,0.08214271047413349,1.1209025382995605,2.0186501026153563,0.013707573133238263,1.0,2.444195961952208,3.6104045915603638
12,5,490164,3485,0.2168889905427388,0.14094157606065272,1.6850119829177856,2.608162593841553,0.007109865269583242,1.0,3.0695687770843487,4.184191493988031
13,5,490166,1476,0.3279257553800204,0.22600312046706675,2.3908119201660156,3.369764566421509,0.0030112247687518108,1.0,3.8216298818588257,4.702784895896912
14,5,490164,500,0.4640680388068512,0.3421345970571041,3.2174317836761475,4.386095476150513,0.0010200667531683274,1.0,4.7262099981307975,6.058896055221556
15,5,490165,152,0.6116106481083436,0.48854120743274687,4.184203147888184,5.389167022705079,0.0003100996603184642,1.0,5.6216757535934425,6.50197681427002
16,5,490165,29,0.7490338250149582,0.6605115795135498,4.929739952087402,5.6849161148071286,5.916375098181225e-05,1.0,6.10321569442749,6.333701915740966
17,5,490165,11,0.8645107021134035,0.8889633621454238,5.695577144622803,6.405517101287842,2.2441422786204647e-05,1.0,6.425746202468872,6.441929483413697
18,5,490165,6,0.9468424541018898,1.1853634265899657,6.224792957305908,6.6274635791778564,1.2240776065202534e-05,1.0,6.700708985328674,6.759305310249329
19,5,490166,20613,0.9931662164521808,1.8833632623195646,7.409021377563477,10.714852714538575,0.04205310037823921,0.0003881045941881337,-6.186697578430176,-6.113178443908692
0,6,488241,158,0.005,3.004571731223393e-06,0.10020272061228752,0.5761640429496765,0.00032361067587523376,1.0,1.150017654895783,2.0631474018096934
1,6,492012,472,0.005,2.297576900855347e-05,0.0795673206448555,0.475018909573555,0.0009593261952960497,1.0,0.7917869299650185,2.05810514688492
2,6,490066,1053,0.005,7.616416314594971e-05,0.08167996257543564,0.47419142723083496,0.002148690176425216,1.0,0.7793421030044552,1.7012919569015503
3,6,490315,2270,0.005,0.0002060413732426241,0.07937764748930931,0.42063894569873833,0.004629676840398519,1.0,0.6947752505540847,1.6422699832916212
4,6,490143,4839,0.005,0.0005098284264095128,0.07774652540683746,0.3867480278015137,0.009872629008269015,1.0,0.641047674417495,1.5053942990303038
5,6,490200,9283,0.005,0.001191623279324267,0.07810160517692566,0.38707467913627647,0.01893716850265198,1.0,0.6392712056636803,1.5089156556129462
6,6,490179,16487,0.005,0.0026656508705578744,0.0839114859700203,0.38130804896354675,0.033634651831269805,1.0,0.5818469643592834,1.38774717807769
7,6,490159,17169,0.00997693386845222,0.005735432237014174,0.15162935853004456,0.5643177509307862,0.03502740947325256,1.0,0.8278899192810052,1.7976435899734495
8,6,490169,14878,0.020731940822104833,0.011874014616943896,0.2890000343322754,0.8230135202407839,0.030352796688489073,1.0,1.1437906563282012,2.1954036498069702
9,6,490166,11737,0.04073043898629802,0.023629348530247805,0.5030689239501953,1.1883165121078492,0.02394494926208672,1.0,1.5715001106262199,2.6476740169525126
10,6,490164,8182,0.07623697181909694,0.04530052620470523,0.8199490904808044,1.623699426651001,0.016692372348846508,1.0,2.0540030241012572,3.1001419401168793
11,6,490167,4672,0.13228418287662203,0.08214271047413349,1.3112016916275024,2.23709557056427,0.009531445405341446,1.0,2.6619092941284177,3.9140822386741636
12,6,490164,2145,0.2168889905427388,0.14094157606065272,1.9519084692001343,2.9386731147766114,0.004376086371092124,1.0,3.3271085739135744,4.503528137207029
13,6,490166,773,0.3279257553800204,0.22600312046706675,2.774348258972168,3.8059251785278323,0.0015770167657487464,1.0,4.236501693725586,5.188909378051753
14,6,490164,197,0.4640680388068512,0.3421345970571041,3.8033416271209717,4.842420196533204,0.000401906300748321,1.0,5.436960792541503,6.401695251464842
15,6,490165,51,0.6116106481083436,0.48854120743274687,4.88051700592041,5.914357662200928,0.00010404659655422153,1.0,6.347718715667725,6.765836238861084
16,6,490165,6,0.7490338250149582,0.6605115795135498,5.796230792999268,6.288017511367798,1.2240776065202534e-05,1.0,6.339931607246399,6.38146288394928
17,6,490165,2,0.8645107021134035,0.8889633621454238,6.425746202468872,6.441929483413697,4.0802586884008446e-06,1.0,6.4439523935317995,6.445570721626281
18,6,490165,0,0.9468424541018898,1.1853634265899657,,,0.0,,,
19,6,490166,10773,0.9931662164521808,1.8833632623195646,8.670214653015137,12.221014213562013,0.021978268586560473,9.2824654228163e-05,-7.423908042907715,-7.3395005798339845
