b,kappa,n,n_out,phi,bulk_mad,out_med,out_q90,eps_hat,pos_frac,q95_pos,q99_pos
1,5,613665,9,0.005,1.944125832233112e-06,0.014314505271613598,0.09250968098640443,1.4665982254161472e-05,1.0,0.09648135006427765,0.09965868532657624
2,5,616256,18,0.005,7.246179074354586e-06,0.008680454920977354,0.03010303284972907,2.9208640564960018e-05,1.0,0.058291306346654706,0.14894784495234467
3,5,615006,34,0.005,2.1560241457336815e-05,0.006661416497081518,0.02961737867444753,5.528401348929929e-05,1.0,0.1231971580535172,0.1960865481197835
4,5,614641,130,0.005,5.8480989583767946e-05,0.00651768920943141,0.022582083940505992,0.00021150557805287964,1.0,0.03354320423677561,0.07887928873300531
5,5,614714,547,0.005,0.00015330847970908507,0.005915602203458548,0.016273999214172368,0.0008898447082708381,1.0,0.02569212354719638,0.08396524459123575
6,5,614683,3036,0.005,0.00038763640215620397,0.00554448994807899,0.01380676543340087,0.004939131226990173,1.0,0.021377273835241795,0.07164986282587052
7,5,614676,15184,0.005,0.0009567012767773121,0.005905297119170427,0.013724414724856616,0.02470244486526235,0.9599578503688093,0.019728448707610362,0.051658029109239584
8,5,614660,19537,0.010717919892672068,0.0022239141723141074,0.012167689390480518,0.02813345864415174,0.03178505189861061,0.9322311511491017,0.04085332304239273,0.09875160574913024
9,5,614664,18214,0.024038976773665732,0.004809154696203768,0.027108644135296345,0.06117609329521658,0.02963244959847982,0.9313714724936861,0.08738900870084751,0.1939686892926688
10,5,614656,16466,0.04988339656594187,0.009455402342230081,0.0549997016787529,0.12027543783187866,0.026788968138275717,0.9231142961253492,0.16308416053652763,0.3267139062285435
11,5,614656,14412,0.0952081483968012,0.016984701036661862,0.09964748844504356,0.20707678496837614,0.0234472615576843,0.9062586733277824,0.27043711990118,0.4870119044184685
12,5,614656,12074,0.16374851562842424,0.02838502428084612,0.1667037382721901,0.3199510544538498,0.01964350791336943,0.8836342554248799,0.41522097587585455,0.6979623305797578
13,5,614655,9447,0.256934589071694,0.04302953161597252,0.2553994953632355,0.4452316880226135,0.015369597579129755,0.8135916163861543,0.5740082800388336,0.9569043421745256
14,5,614656,8082,0.3775499083224906,0.06138207084238529,0.3709779679775238,0.5879840672016144,0.013148818200749687,0.7061370947785202,0.7241020500659943,1.1145554494857788
15,5,614656,6946,0.5107808450474698,0.08110796585083008,0.4872414171695709,0.7265070974826813,0.011300629945855893,0.5770227469046934,0.8703376054763794,1.301744168996811
16,5,614655,7069,0.6539779689555867,0.10149577310085296,0.6150838136672974,0.8833727836608886,0.011500760589273658,0.4340076389871269,0.9345468521118159,1.33743978023529
17,5,614656,7389,0.7904083271575256,0.12045702592134475,0.7543003559112549,1.1118496894836425,0.012021358288213244,0.30694275274056027,0.9813542842864984,1.411052575111389
18,5,614656,7885,0.9056980808868434,0.13727159843444822,0.8954336643218994,1.453175711631775,0.012828313723448562,0.19720989220038046,0.9981882572174071,1.4490335464477535
19,5,614656,8068,0.9845028366852524,0.15423030216693878,0.9993991851806641,1.8328184127807619,0.01312604123281966,0.15356965790778385,1.00267276763916,1.37185170173645
0,6,613592,1,0.005,1.7673966108446848e-07,0.006838116329163313,0.006838116329163313,1.6297474543344764e-06,1.0,0.006838116329163313,0.006838116329163313
1,6,613665,7,0.005,1.944125832233112e-06,0.0263096671551466,0.09449551552534104,1.1406875086570034e-05,1.0,0.09747426733374595,0.0998572687804699
2,6,616256,17,0.005,7.246179074354586e-06,0.00877662654966116,0.03127310536801815,2.7585938311351128e-05,1.0,0.06495722830295553,0.15028102934360502
3,6,615006,29,0.005,2.1560241457336815e-05,0.007601811084896326,0.04594720155000682,4.715401150557881e-05,1.0,0.13919668197631824,0.19842166960239405
4,6,614641,96,0.005,5.8480989583767946e-05,0.008562528062611818,0.026199225336313248,0.00015618873456212651,1.0,0.04413965344429016,0.09640471041202502
5,6,614714,402,0.005,0.00015330847970908507,0.007179331965744495,0.019874138385057454,0.0006539626558041626,1.0,0.03539930731058116,0.09925962038338194
6,6,614683,2138,0.005,0.00038763640215620397,0.006701768143102527,0.01685391180217266,0.0034782156005615903,1.0,0.027045359741896376,0.0880007963627577
7,6,614676,10042,0.005,0.0009567012767773121,0.007432464510202408,0.016828688047826282,0.016337062127039285,0.9935271858195579,0.025018783379346123,0.06579960659146311
8,6,614660,12508,0.010717919892672068,0.0022239141723141074,0.015471070073544979,0.035454144701361656,0.02034946149090554,0.9876079309242085,0.05243036262691019,0.12600172892212871
9,6,614664,11640,0.024038976773665732,0.004809154696203768,0.03397755324840546,0.07719825431704522,0.018937175432431376,0.9867697594501719,0.10933358334004876,0.22914349555969257
10,6,614656,10445,0.04988339656594187,0.009455402342230081,0.06927553564310074,0.14659774601459502,0.016993245002082467,0.9842029679272379,0.19879450798034648,0.39524302005767453
11,6,614656,8932,0.0952081483968012,0.016984701036661862,0.12495847791433334,0.2534823834896088,0.0145317055393586,0.9713390058217645,0.32560653686523433,0.6003769403696085
12,6,614656,7330,0.16374851562842424,0.02838502428084612,0.20438119769096375,0.38500214219093326,0.011925369637650979,0.9570259208731241,0.4918973341584205,0.8091638487577439
13,6,614655,5732,0.256934589071694,0.04302953161597252,0.3002651631832123,0.5418916583061225,0.009325556613059359,0.9141660851360781,0.6788038194179534,1.0607742822170247
14,6,614656,4695,0.3775499083224906,0.06138207084238529,0.43444886803627014,0.6984016180038455,0.007638418887963349,0.8223642172523962,0.8355569183826448,1.2523830890655518
15,6,614656,3615,0.5107808450474698,0.08110796585083008,0.5779492259025574,0.8672126531600952,0.005881338504789671,0.6461964038727525,1.0225467562675474,1.5477406525611883
16,6,614655,3712,0.6539779689555867,0.10149577310085296,0.7233149409294128,0.9980309009552002,0.0060391601792875674,0.46066810344827586,1.1052938163280486,1.4839439427852619
17,6,614656,4066,0.7904083271575256,0.12045702592134475,0.8897330164909363,1.2440130114555359,0.006615082257392753,0.2899655681259223,1.0984207689762115,1.5548066556453701
18,6,614656,4648,0.9056980808868434,0.13727159843444822,1.0642673969268799,1.6538000106811526,0.0075619533527696795,0.16738382099827884,1.1488471388816828,1.6118116438388803
19,6,614656,5235,0.9845028366852524,0.15423030216693878,1.1873605251312256,2.1227251529693607,0.008516959079550187,0.11652340019102196,1.114198923110962,1.4884316158294673
