b,kappa,n,n_out,phi,bulk_mad,out_med,out_q90,eps_hat,pos_frac,q95_pos,q99_pos
13,5,1023921,9477,0.04041791978769105,0.009114482521265744,0.05161925405263901,0.09825669229030609,0.009255596867336445,0.9926136963174,0.13247079849243146,0.2512941360473633
14,5,1023921,6786,0.09534948735396465,0.017990222856402397,0.10387853160500526,0.18850582838058472,0.0066274644235248615,0.9882110226937814,0.25994230806827545,0.4757039248943329
15,5,1023923,5348,0.17595495367984826,0.030007991740107536,0.1874309703707695,0.32405132353305816,0.005223048998801667,0.9734480179506357,0.440872064232826,0.7221479415893555
16,5,1023921,3667,0.28663943595393293,0.04895309497117996,0.3062761723995209,0.4796788096427918,0.0035813309815894,0.9462776111262613,0.5872060060501099,0.9257461047172547
17,5,1023921,2188,0.4444375951999595,0.07376018986701965,0.4999992996454239,0.7373223304748535,0.002136883607231417,0.7938756855575868,0.8391845166683197,1.2171994185447694
18,5,1023921,1992,0.6470334391996516,0.11036483598947525,0.7365126609802246,0.9904369354248047,0.0019454625893989869,0.47540160642570284,1.0380733191967007,1.4439745938777906
19,5,1023922,4304,0.8824302035302434,0.17528477153778074,0.9890948534011841,1.4987058639526367,0.004203445184301148,0.18726765799256506,1.0687086880207062,1.4230387210845947
0,6,0,0,,,,,,,,
1,6,0,0,,,,,,,,
2,6,0,0,,,,,,,,
3,6,0,0,,,,,,,,
4,6,0,0,,,,,,,,
5,6,0,0,,,,,,,,
6,6,6797352,0,0.005,0.0,,,0.0,,,
7,6,1384896,0,0.005,1.7673960841193546e-07,,,0.0,,,
8,6,1030699,3,0.005,2.120864850712678e-06,0.014150571078062057,0.014150948822498321,2.910646076109514e-06,1.0,0.014150996040552855,0.01415103381499648
9,6,1026103,23,0.005,2.456129416823387e-05,0.008518798276782036,0.02969040870666504,2.2414903766970762e-05,1.0,0.09292237777262916,0.10011370077729226
10,6,1023710,411,0.005,0.00018159891235409304,0.007445196621119976,0.021751368418335915,0.0004014808881421496,1.0,0.0287491325289011,0.12650920301675794
11,6,1019885,6215,0.005,0.0009190474375616759,0.00787026435136795,0.016576475277543076,0.006093824303720518,1.0,0.023686130531132173,0.044505637139081955
12,6,1028329,7491,0.014484199897475736,0.0035454741781577466,0.01899767853319645,0.04793348163366318,0.00728463361433938,1.0,0.06477827578783035,0.14207543432712555
13,6,1023921,3676,0.04041791978769105,0.009114482521265744,0.07372142747044563,0.1395866796374321,0.0035901207222041546,1.0,0.18996505811810493,0.3587488681077957
14,6,1023921,2588,0.09534948735396465,0.017990222856402397,0.15175224095582962,0.2678317666053777,0.002527538745664949,1.0,0.3495839953422547,0.6054146653413783
15,6,1023923,1980,0.17595495367984826,0.030007991740107536,0.2726643234491348,0.4541442364454272,0.0019337391581202884,0.998989898989899,0.574060246348381,0.937192870974541
16,6,1023921,1308,0.28663943595393293,0.04895309497117996,0.4359946697950363,0.6514868974685669,0.001277442302677648,0.9870030581039755,0.7522468358278275,1.1886213159561156
17,6,1023921,1101,0.4444375951999595,0.07376018986701965,0.6016891002655029,0.8391842842102051,0.0010752782685382954,0.8973660308810173,1.0082658529281616,1.4904451370239258
18,6,1023921,1079,0.6470334391996516,0.11036483598947525,0.8138052225112915,1.0828477144241333,0.0010537922359244512,0.6227988878591288,1.1970766663551324,1.5739926815032963
19,6,1023922,2020,0.8824302035302434,0.17528477153778074,1.2148425579071045,1.828275775909424,0.0019728065223718213,0.12673267326732673,1.2154898762702941,1.5827792215347278
