arch,initialization,iteration,C,lam,C_next,lambda_next,operator_change,A,gamma,E_Delta,kappa
moe,"(1.0, 1.0)",1,8.221965004303566,-0.10225322125917674,3.6268630915338,0.11456272739429592,0.8184411195567127,3.7998018002120744,-1.4364705251749201,0.5183771029362829,162.09294621506012
moe,"(1.0, 1.0)",2,3.6268630915338,0.11456272739429592,4.648727084224149,0.05804495301717552,0.24822532423450383,3.4655721903212973,-0.9877767626303513,0.48045169799935017,148.7349149403302
moe,"(1.0, 1.0)",3,4.648727084224149,0.05804495301717552,4.240524060840149,0.07599473993422454,0.09190657593517337,3.586042694377848,-1.1226682564985477,0.5159894059114746,153.04462648546018
moe,"(1.0, 1.0)",4,4.240524060840149,0.07599473993422454,4.35747893441309,0.06948950098803787,0.027206803210885644,3.5505922711195876,-1.0626514635332587,0.5185937919624494,151.78817072181664
moe,"(1.0, 1.0)",5,4.35747893441309,0.06948950098803787,4.324672234228924,0.07130361620486482,0.007557310552967156,3.5604525342928044,-1.0796332608732326,0.5179027478914164,152.13813450764007
moe,"(1.0, 1.0)",6,4.324672234228924,0.07130361620486482,4.333906959041016,0.07079301009281982,0.002133081677141435,3.55767083088149,-1.0748669316564263,0.5181037094563021,152.03948640311273
moe,"(1.0, 1.0)",7,4.333906959041016,0.07079301009281982,4.331309433136401,0.07093664135253985,0.000599529397734333,3.5584527944662123,-1.0762085635937377,0.5180476354932285,152.0672261334654
moe,"(1.0, 1.0)",8,4.331309433136401,0.07093664135253985,4.3320402156716575,0.070896236973297,0.00016870669351121137,3.5582327623137555,-1.0758311908091602,0.5180634489708416,152.0594214135856
moe,"(0.75, 2.0)",0,0.75,2.0,0.75,2.0,0.0,,,,
moe,"(1.5, 0.5)",0,1.5,0.5,6.626980996772496,-0.04782634795940363,1.4856842374477897,3.00761032457801,-0.7010549727441073,0.3638464238056237,134.12331931471368
moe,"(1.5, 0.5)",1,6.626980996772496,-0.04782634795940363,3.7142097757415464,0.10705730737497128,0.5789834017914477,3.766152523875606,-1.387302294353386,0.5157976527730084,160.50393632201082
moe,"(1.5, 0.5)",2,3.7142097757415464,0.10705730737497128,4.595912677612434,0.0596049309280265,0.2130014163923415,3.4806006635701427,-1.0017799014793578,0.4966329577621072,149.27168333949817
moe,"(1.5, 0.5)",3,4.595912677612434,0.0596049309280265,4.256004796057281,0.07509055672966361,0.07683648122498132,3.581310566256048,-1.1147965586672832,0.516338564988107,152.87818765746397
moe,"(1.5, 0.5)",4,4.256004796057281,0.07509055672966361,4.353164009846235,0.06972807400985517,0.022572060357011647,3.5518858576372834,-1.0648922372130505,0.5185062114804656,151.8341485126332
moe,"(1.5, 0.5)",5,4.353164009846235,0.06972807400985517,4.325887874954086,0.07123641389508154,0.0062855309672151805,3.56008608987572,-1.0790063848592113,0.5179294513931513,152.12514404566252
